campaign_id,customer_id,marketing_event,event_timestamp
CMP-3,1,email_sent,2025-05-12T13:16:15
CMP-2,1,email_sent,2025-05-25T04:16:15
CMP-2,1,email_open,2024-07-02T18:16:15
CMP-7,1,email_click,2025-03-23T19:16:15
CMP-5,1,email_click,2024-09-09T13:16:15
CMP-2,1,email_sent,2025-10-19T00:16:15
CMP-2,1,email_click,2025-11-28T12:16:15
CMP-4,1,email_open,2024-11-30T00:16:15
CMP-1,1,email_open,2025-11-26T22:16:15
CMP-4,2,email_sent,2025-03-22T21:16:15
CMP-7,2,email_sent,2025-09-18T12:16:15
CMP-2,2,email_sent,2024-11-19T19:16:15
CMP-2,2,email_sent,2024-11-26T08:16:15
CMP-4,2,email_sent,2025-09-20T20:16:15
CMP-7,2,email_sent,2025-09-01T12:16:15
CMP-7,2,email_sent,2025-09-05T01:16:15
CMP-5,2,email_open,2024-11-15T04:16:15
CMP-2,2,email_sent,2025-11-01T08:16:15
CMP-3,2,email_sent,2025-03-25T09:16:15
CMP-1,2,email_click,2024-11-11T00:16:15
CMP-1,2,email_click,2025-01-26T17:16:15
CMP-4,2,email_open,2025-07-29T10:16:15
CMP-5,2,email_click,2025-01-01T08:16:15
CMP-3,2,email_open,2025-11-22T04:16:15
CMP-3,2,email_click,2025-02-12T15:16:15
CMP-7,2,email_sent,2025-02-17T10:16:15
CMP-4,2,email_sent,2025-01-22T09:16:15
CMP-4,2,email_sent,2025-07-07T20:16:15
CMP-1,2,email_sent,2024-10-28T14:16:15
CMP-4,3,email_sent,2024-11-16T10:16:15
CMP-4,3,email_open,2025-04-17T02:16:15
CMP-5,3,email_open,2025-01-02T18:16:15
CMP-5,4,email_open,2025-10-02T17:16:15
CMP-1,4,email_sent,2025-05-13T10:16:15
CMP-1,4,email_click,2025-04-28T19:16:15
CMP-4,4,email_open,2025-09-04T16:16:15
CMP-7,4,email_sent,2025-07-10T23:16:15
CMP-1,4,email_open,2025-04-02T23:16:15
CMP-7,4,email_sent,2025-01-21T16:16:15
CMP-5,4,email_sent,2025-05-07T04:16:15
CMP-3,4,email_click,2025-11-17T06:16:15
CMP-3,4,email_sent,2024-12-07T05:16:15
CMP-2,4,email_sent,2025-01-23T08:16:15
CMP-5,4,email_click,2025-07-20T21:16:15
CMP-5,4,email_open,2025-02-22T15:16:15
CMP-1,4,email_sent,2025-04-11T06:16:15
CMP-3,4,email_sent,2024-10-18T15:16:15
CMP-5,4,email_sent,2025-08-14T14:16:15
CMP-5,4,email_open,2025-04-26T08:16:15
CMP-2,5,email_sent,2024-10-03T00:16:15
CMP-4,5,email_sent,2025-09-23T15:16:15
CMP-2,5,email_click,2024-06-11T06:16:15
CMP-7,5,email_open,2024-08-09T00:16:15
CMP-1,5,email_sent,2024-07-12T01:16:15
CMP-4,5,email_open,2025-07-14T00:16:15
CMP-5,5,email_open,2025-08-28T12:16:15
CMP-6,5,email_sent,2024-06-28T04:16:15
CMP-3,5,email_sent,2025-04-22T12:16:15
CMP-2,5,email_click,2025-08-09T01:16:15
CMP-3,5,email_sent,2024-08-17T00:16:15
CMP-2,5,email_open,2025-09-30T10:16:15
CMP-1,5,email_sent,2025-02-21T11:16:15
CMP-2,5,email_sent,2025-03-17T08:16:15
CMP-5,5,email_sent,2024-09-24T05:16:15
CMP-3,5,email_sent,2025-04-28T10:16:15
CMP-3,5,email_sent,2024-10-15T21:16:15
CMP-2,5,email_sent,2025-07-13T22:16:15
CMP-4,5,email_click,2024-06-30T10:16:15
CMP-3,5,email_click,2024-12-16T04:16:15
CMP-7,6,email_open,2024-09-20T08:16:15
CMP-5,6,email_click,2025-07-27T04:16:15
CMP-3,6,email_sent,2025-08-30T08:16:15
CMP-6,6,email_click,2024-09-26T23:16:15
CMP-2,6,email_sent,2025-07-03T03:16:15
CMP-3,6,email_click,2025-08-22T12:16:15
CMP-4,6,email_click,2024-11-13T21:16:15
CMP-2,6,email_open,2025-10-11T07:16:15
CMP-7,6,email_click,2025-02-08T12:16:15
CMP-4,6,email_open,2025-01-20T06:16:15
CMP-3,6,email_sent,2025-06-22T17:16:15
CMP-5,6,email_sent,2024-12-12T04:16:15
CMP-7,6,email_open,2025-10-03T14:16:15
CMP-2,6,email_sent,2024-11-21T01:16:15
CMP-2,6,email_open,2025-10-21T22:16:15
CMP-4,6,email_click,2025-04-22T08:16:15
CMP-3,6,email_sent,2024-12-20T20:16:15
CMP-3,6,email_open,2025-09-23T10:16:15
CMP-5,6,email_click,2025-05-10T03:16:15
CMP-2,6,email_click,2025-02-10T08:16:15
CMP-5,6,email_click,2024-07-02T23:16:15
CMP-6,6,email_open,2025-06-09T08:16:15
CMP-5,6,email_click,2025-05-29T09:16:15
CMP-6,7,email_open,2024-12-29T22:16:15
CMP-2,7,email_sent,2024-08-19T02:16:15
CMP-3,7,email_sent,2025-08-11T03:16:15
CMP-6,7,email_open,2025-11-01T11:16:15
CMP-7,7,email_sent,2025-03-06T07:16:15
CMP-2,7,email_open,2025-10-01T08:16:15
CMP-7,7,email_open,2024-10-02T17:16:15
CMP-7,7,email_sent,2024-11-18T09:16:15
CMP-2,7,email_open,2024-08-09T16:16:15
CMP-4,7,email_open,2024-10-23T07:16:15
CMP-7,7,email_sent,2025-03-18T20:16:15
